품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Yorkshire Terrier(요크셔 테리어),MN,2170,D_VIP,s 통증 목부위를 만지면 아파하는것 같다고 함 식욕도 약간 떨어짐 우측 하악부위 촉진시 통증반응 심함 구강관찰시 출혈있음 혈액검사 특이소견없음 흉부방사선상 특이소견 없음 치과치료의 필요성 안내드림 이번주 day time 로 예약함 스켈링 치아방사선 및 발치 모든이를 다 발치할수도 있다고 안내드림. 정확한 비용은 그때 가서 알려드릴수 있음 day 오후 time 치과치료 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,207,6
K.C(Korean Cat),MN,2170,B_W,치주염이 의심이 되어 내원함 month 전부터 이전 먹은 사료를 먹지 않음 사료를 먹지 않아 새로 사료를 사주었는데도 먹지 않음 예방접종은 어릴때 하고 이후에 하지 않음 소변을 보지 못해서 처치를 받음 현재 소변은 정상적인 상태임 month 전부터 먹는것이 줄어서 변양이 불어 들었음 오른족 뺨을 만지면 아파함 오르쪽 뺨을 대고 냄새를 맡으면 썩은냄새가 남 pcr검사 결과를 보고 보호자님과 치주염이나 구내염 virus관련 부분을 상담할 예정임 ,,4, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,통증,통증,249,6
Schnauzers( 슈나우져),F               ,2116,H, cc 오른쪽 뒷다리 딛지 못함 검사 위해서 내원 history day 부터 갑자기 오른쪽 뒷다리를 딛지 못하고 아파서 그런지 잘 일어나지 않음 산책 시에만 배뇨를 하는 아이라 산책을 못시켜줘서 그런지 day 부터 배뇨 관찰되지 않음 구토 설사 는 없었음 기력이 감소함 다리가 아파서 잘 움직이지 않아서 그런지 밥을 잘 먹지 않아 어제는 소고기를 구워서 주었더니 잘 먹었음 유선 종양 부위가 더 부은 것 같음 수술 여부는 모르겠지만 그래도 검사는 해봐야 할 것 같아서 왔음 environment indoor 동거견 연령 슈나우저 food 사료 간식 등 vaccination deworming 어렸을 때만 접종 사상충 매달 구충 systemic gen mental alret skin nrf nervous nrf eent nrf res nrf cv heart base murmur gi nrf ns rt.poplitear ln enlargement cm t r panting p.e. mm pink crt sec bp time hg cuff rt.fl rt. hindlimb lameness bw kg 체중 감소 dehydration 혈액검사 elevated alp increased crp 방사선 흉부 흉부 복배상에서 우측 후엽 원형 크기 lxw mm 의 폐결절 의심 좌측 전엽 타원형의 폐결절 의심 크기 lxw mm 폐전이 의심 복부 하복부 복측 복벽 복측으로 불균질한 연부조직 밀도의 피하종괴. 유선 종괴 요추 번 복측으로 타원형의 연부조직 밀도의 종괴. 요추하 림프절 비대 흉추 번 요추 번 사이 척추체 endplate 불균질한 골증식 퇴행성 변화 무릎관절 무릎관절 전후측상에서 우측 대퇴골 medial epi condyle 국소적으로 미약한 골밀도 감소. bone cyst metastasis 복부초음파 요추하 림프절 비대 metastasis 유선종괴 저에코성이며 분엽화 되어 여러 종괴 관찰됨. 악상 피하 종괴 의심 양측 부신 비대 뇨 검사 비중검사 하루 정도 소변 참은 것으로 생각됨 스틱검사 mild proteinuria 응고계 검사 nrf 유선 종양 악성 가능성 높음 의 전이 가능성 폐 rt. hindlimb 심장 ar 전이 여부 평가를 위해 ct 촬영 필요함을 설명하였으나 보호자 남편 분이 더 이상의 처치나 검사는 원치 않음 호스피스 관리 원하고 있어 내복약만 일주일치 처방함 보호자 아내 분이 남편가 상의 더 해보고 추후 일정 정하기로 함 ct or 약만 처방 comments 수술 여부를 결정하기 위해서는 ct 촬영이 반드시 필요함을 언급하였으며 전이가 확인되었을 경우 수술보다는 호스피스 관리가 더 나을 것이라고 말씀드림 전이가 되지 않았을 경우에는 수술 및 항암처치 등이 필요함을 언급하였음 tx cephalexin time kg bid po famotidine time kg bid po piroxicam time kg sid po 저녁약 ,,, 유선 종양 / 유방 종괴 , 생식기 질환 ,,,1438,3
Shih Tzu(시추),FS              ,2275,F_센트럴,c.c 교통사고 승용차가 밟고 지나감 쇼크 저혈압 ray 골반골절 좌측 고관절 탈구 chemistry 혈소판 감소 백혈구 감소 ,,"0,77", 사고 (교통 사고 포함) ,전신성의 질환,"기타 증상,골절",기타 증상,71,8
Yorkshire Terrier(요크셔 테리어),MN              ,2185,D_VIP, 전신상태 nrf mild 탈수 bcs alert no murmur no crackle p 안과 os 홍채변성 및 렌즈와 유착 plr 시력 망막 관찰 어려움 stt 안구위축 안압os 이전 포도막염에 속발되어 홍채의 변성 및 각막궤양 동반됬을 가능성 존재 우측 핵경화증 stt 안압od 양측 각막형광염색 근골격계 신체검사상 좌측 상완 견갑 관절통 초음파 방광벽 비후 심하지 않음 좌측 상완 견갑부위 tenosynovitis 예상 소염제 처방 필요할 것으로 예상 슬개골탈구 비뇨기 소변검사 채취시 혈액혼입 결석성분 관찰 어려움 적혈구만 다량 관찰 rad 작은 좌측 신장 결석 방광결석 존재 초음파 방광벽 비후 심하지 않으나 슬러지형 결석 신장에 결석 소량 존재 신우부분에 존재하진 않음 이전 결석 ca oxalate 관련하여 지속적 관리 필요 초음파 소견 다 적혀있어서 따로 안적을게요 현아 치과치료 money 스켈링 마취 치과방사선 진행 예정 ,2092,23, 슬개골 (아) 탈구 ,근육 골격 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",471,7
Bichon Frish(비숑 프리제),MN              ,2133,H,어제저녁부터 후지마비 내츄럴 코어 연어 사료 먹임. 바우와우를 사료에 섞여서 먹였음. 배뇨곤란으로 방광염이 심하게 발생하여 출혈이 있음. 방광염 치료 해야함. deep pain 좌우 모두 있음. ct. 부토판 앰플 미다졸람 time 프로포폴 time 진통수액 케타민 time 요추 ivdd 수술실시 url 파열된부위 수술을 함께 함. ,,, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,,,187,5
Schnauzers( 슈나우져),F,2092,D_VIP, cc 혈뇨 피부질환 hpi 약 두달전에 생리함 생리 끝날무렵 미용함 이후 피부에 각질 유사 피부증상 보임 약 한달반전부터 엉덩이 주변 핥고 뇨에 피가 섞임 month 전 로이동물병원 방문하여 별다른 검사 없이 생리에 대한 잔여 영향으로 섞여 혈뇨인것같다라고 들으심 당시 피부 이전에는 피가 조금씩 묻어있는 양상이었지만 어제는 다량의 혈뇨 관찰됨 뇨량 오줌이랑 전반적으로 섞여있는양상 배뇨 자세를 여러번 보이고 화장실을 자주 왔다갔다하며 안절부절 못함 증상 보이는 시점 주변 특별히 잘못먹은건 없음 심장사상충 예방 안하심 호흡은 다소 양호한편이나 간헐적인 켁켁거리는 증상 보임 평소 뇨를 참는 성격아님 항문낭 평소에 잘 안짜주심 phi med month 전 로이에서 피부약 처방받음 sur tru vac 기초 boosting diet dog 랑 month 전에 사료 변경 피부 저알러지사료 eh indoor with 마리 푸들 사이 좋지않음 systemic gen 활력 및 식욕 양호 음수력 양호 skin 지루성 피부질환 들으심 nervous eent 눈은 평소 안좋음 res cv gi ur for this symptom rep 생리 한달반전 종료 뇨검사 염증 세포 및 구균 확인됨 복부초음파 full scan imaging dx ddx renal cyst urolithiasis cystitis comment 우측 신장의 . time 크기의 낭포 확인됨 그 외 신장의 크기 모양 피질에코 양호 방광 벽 비후 time 및 방광 내 다수의 거대 결석 확인됨 radiologist 이현아 dvm ms cystitis urolithiasis 혈뇨를 주증으로 내원한 환자로 금일 영상 검사상 방광내 큰 크기의 결석 개 관찰되며 현재 폐색을 유발하지 않음 방광벽 심한 비후 확인되었음 뇨 검사상 다수의 염증세포 및 구균 확인되었음 수술적 제거로 방광염의 원인인 방광결석 제거 필요 안내드렸으나 보호자님 심한 비용 부담으로 내복약 처치만 원하심 방광염에 대한 대증처치 처방함 보호자님 상태 모니터링후 재내원 예정 ,방광염,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,1010,1
A.Cocker Spaniel(아메리카 코커),F,2126,C_잠실ON,새벽 두시에 시골길에서 발견해서 집으로 데려옴 사료를 먹지않아서 설탕물 먹임 기운없이 늘어져있어서 내원 혈뇨 방광염소견. 내강에 슬러지 확인. status epilepticus 내원후 경부터 발작 시작. 집에서부터 전조증상 있었음. time 이상 멈추지않고 지속. tx dz time kg im 회 이후 propofol cri cepha sc tramadol iv 수액 d vitb vitc taurin 보호자 상담 용 . mri는 보류해놓은 상태. 정확한 진단이 나지 않은 상황에서 위험성을 안고 치료하고 있음 고지. 경기도에서 발견하여 데리고 오셨으며 법적 절차 문제로 해당 시 군청에 유기견 신고를 해 놓고 치료할것을 권해드렸으나 보호자분 원치 않으셔서 책임하에 치료 해달라고 말씀하심. 정오부터 propofol cri로 들어가고 있으며 속도 time hr 로 조절중. 중간중간 포폴 스톱하여 보았으나 증상 개선되지 않아 유지 중. 금일 밤 time 경 다시한번 항경련제 끊어볼 예정. tx. mpss time kg tid. mannitol kg sid cepha enro. time 경 통화 시도 하였으나 보호자분 통화 안됨. ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,579,4
K.C(Korean Cat),MN,2133,D_VIP,s 배뇨는 가능하나 배변은 힘듬. 정상배변 어제 소량 식욕부진 time 부터 다리가 불편하기 시작하여 어제는 매우 심해짐. 다리를 쭉 펴고 보행. 항생제 진통제 처치에도 반응 없이 더 악화됨. 차 접종만. 다 잘먹는 아이. bt positional reflex 반응없음 반사감소 정상 preprioception fr fl rr rl anus reflex 애매함. deep pain 촉진시 매우 아파함 사지 냉감 없음. 오히려 열감 양안 통증 있음. iop odos felv fiv neg. fcov pos. cbc mild leukocytosis chem nrf elect mild hyperkalemia saa normal range 방사선 nrf 복부초음파 full scan by joohee findings 복막염 소견 확인되나 복수는 확인되지 않음 혈관반응이 없는 hypoechoic foci가 비장 내에 산재되어 있음 양측 신장 에코 상승 확인되며 우측 신장의 아주 소량의 perirenal fluid 확인됨 불규칙한 방광벽 확인되나 벽 두께는 양호함 우측 요추하 림프절이 중증도 비대 확인됨 time . 이외에 미약한 복강 내 림프절 비대 imaging dx ddx peritontitis fip dry type systemic infection lymphoma lymphadenopathy nephritis perirenal fluid cystitis ddx. 신경계질환 뇌 척추 fip mri 검사 진행 안내드렸으나 일단 보류하고 치료먼저 진행해보기로. 신경증상 진행속도가 워낙 빨라 내복약 복용하면서도 발작 등의 더 진행된 신경증상 발생 가능성 있음. 너무 좋지 않을 경우 퇴원 또는 안락사 진행도 상담드림. fip 신경계질환에 준한 치료 pds 진행. saa 신경계검사 ,,23, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",889,5
Dachshunds(닥스훈트 ),F               ,건강검진,G_부천이지, month 가출 후 오늘 찾음 건강상태 확인 원함 보호자분 요청으로 병리학적 검사 진행 혈액검사 상 이상소견은 없음 검이경 상 검은색의 귀지 확인 위 내 다량의 고밀도 물질 확인 집에서 닭발간식을 먹였다고 함 베아제 처방 심한 결막염 맥시트롤 하루 회 rx 베스타제 반알 맥시트롤 하루 회 락토믹스 하루 회 분배 담당자 분배 방법 수동 복약 지도 주의사항 담당의 지도 e 혈액검사 및 영상검사 상 건강상의 큰 이상소견은 없음 금일 과량의 음식을 갑작스레 먹은 점이 확인되어 이에 대한 소화흡수 기능장애가 나타날 수도 있으니 관찰 필요 구토 설사 식욕부진 문제 시 내원 ,,,,,,,319,9
