품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,symptoms_id
Yorkshire Terrier(요크셔 테리어),FS,2043,A_라라,s 이틀전부터 구토 증상 있었음 오늘부터는 혈액이 섞여 나오고 덩어리가 나와서 내원 초음에는 노란색이 나왔음 사료는 약간 먹음 힘이 없기도 함. 간식도 안 먹음 이전에도 약간씩 구토 증상이 있었고 노란액을 구토하였으나 피가 나온 것은 처음임. 많은 양이 나왔다고 함 혈액검사 hct 수치 증가 탈수 bun ca 수치 감소. 전해질 정상 복방 위내 가스 장내 가스 우측 상복부 방사선 투과 밀도 증가. 전바적으로 지방 밀도 확인 복초. 담낭 슬러지 조직으로 보일 수도 있음 지방 에코 증가 위내 가스 장내 연변. 구토 혈액성 오늘은 탈수 개선되고 약물 치료 먼저 실시 개선 있으면 약물은 month 복용. 개선 없으면 췌장염 위 내시경 검사 추천 ,,1,,,구토(급성/만성),구토(급성/만성),361,0
K.C(Korean Cat),MN,2170,B_W,치주염이 의심이 되어 내원함 month 전부터 이전 먹은 사료를 먹지 않음 사료를 먹지 않아 새로 사료를 사주었는데도 먹지 않음 예방접종은 어릴때 하고 이후에 하지 않음 소변을 보지 못해서 처치를 받음 현재 소변은 정상적인 상태임 month 전부터 먹는것이 줄어서 변양이 불어 들었음 오른족 뺨을 만지면 아파함 오르쪽 뺨을 대고 냄새를 맡으면 썩은냄새가 남 pcr검사 결과를 보고 보호자님과 치주염이나 구내염 virus관련 부분을 상담할 예정임 ,,4, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,통증,통증,249,12
Yorkshire Terrier(요크셔 테리어),FS,2043,D_VIP,s 어제는 점액성설사 증상 보이다가 오늘 오전에는 혈변 증상 보이기 시작함 어제 저녁이랑 오늘 오전에는 사료 먹음. 구토 증상은 보이지 않음. 사료이외에는 고구마 소량 이외에는 주신게 없으심. day 에 보호자님이 음식 담겨있던 유리그릇을 깨트렸는데 치우고 남은 유리 조각을 먹었을 가능성 있을것 같다고 하심. 간헐적으로 뒷다리 저는 증상 보임 엉덩이 부분만질떄 예민하게 반응함 체온 no skin turgo delayed crt sec 상하복부 촉진시 복압상승소견 보임 spinal reflex 검사시 통증반응 보이지 않음 좌측 슬개골 내측탈구 기. 우측 슬개골 내측탈구 기 분변검사상 rbc만 관찰됨. 병원성세균 확인되지 않음 혈액검사상 특이소견 보이지 않음 복부방사선 검사시 s 척추의 spondylosis 및 골증식 확인되며 추체가 짧아져 있어 압박골절 또는 선천적 이상의 가능성도 있음 복부초음파 검사시 descending colon 원위부의 확장 및 저에코 액체 저류 관찰됨 enteritis bi mpl vertebral spondylosis tx 내복약 month 분 스멕타 timepo bid 락토벳 포 po bid month 동안 급성 대장염에 준한 치료 진행. 그동안 id캔 급여. 현재 양쪽 슬개골 내측탈구 있는 상태이고 아직 수술할 정도는 아니지만 탈구가 더 악화되거나 lamenss 증상이 심해질 경우에는 수술적 교정이 필요함 말씀드림 s spondylosis로 인해 ivdd 발생할경우 신경압박으로 인해 후지 lameness나 paresis 증상 보일 수 있으므로 이런 증상보일시에는 mri 검사나 내과적 치료 필요할 수 있음 말씀드림 ,2185,"1,2", 위염 / 위장염 / 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),819,1
K.C(Korean Cat),F,2056,A_라라,s month 동안 사료 먹지 않고 물도 먹지 않음 구토 증상도 있었음 움직이지 않음 예방 주사 맞은 후에는 컨디션이 좋았음 발열이 있음 도 복통도 매우 심함. 배 만지면 무지 아파함. 기타 다른 검사 복막염때문에 혈액검사 복부 방사선 복부 초음파 검사 등을 추천드렸으나 비용 문제로 오늘만 입원 치료 하기로 함 범백 내일 김미정 선생님 오시면 다시 상담하기로 함 tel 친구분 문자 넣어 드리는 번호 수액 hd 속도 주사 세파 씨메 메토 내복약 없음 사료 금식 ,,"1,21",,,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),259,2
Welsh Corgis(웰쉬 코기),MN              ,2046,G_부천이지,큐피트 의뢰 직장에 실이 달려 있어서 잘랐음 직장 옆으로 뭔가가 융기 되어 있어서 의뢰 흉부 복부방사선 검사 폐 전반적으로 기관지패턴 경미한 정도로 관찰. normal variation 또는 기관지염 의심. 위 유문부 위치에서 골밀도 물질 다량 확인되며 그 외 위내 내용물 차 있음. 십이지장 위치에서도 cm 길이의 선형태 골밀도 이물 음영 관찰. 방사선상 직장 항문 주위 특이소견 없음. 복부초음파 검사 위내 acoustic shadowing 동반되는 이물음영 확인되며 위벽 특이소견 없음. 십이지장 및 소장에서는 특이소견 없음. 간 비장 신장 부신 췌장 특이소견 없음. 상담 위내 이물 항문 부위 특이 소견 없음 위내 이물 문제 유발 가능성 있음 직장내 방사선 투과 물질일 경우 확인 안될수 있음 위내시경 직장 내시경 검사 권유 보호자분께 위험성 설명드렸고 내일 상태 봐서 내원하신다고 함 내복약 처방 ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,451,10
Shih Tzu(시추),M,2156,A_라라, 우측 각막 파열로 내원. 오늘 오전에 비명지르며 눈에서 핏물이 나왔다고 함. 내일 결막플랩 수술. ,,4,,,통증,통증,56,12
Labrador Retriever(래브라도 리트리버),MN,2014,D_VIP, month 전부터 구토증상보임 뒷날 병원 내원하셔서 항구토처치 및 내복약 처방받으심 이틀 전 설사 형태있는 묽은변 회 어제 저녁부터 식욕없음 평소에는 건사료 위주로 먹음 활력은 양호 기본 접종되어있음 심장사상충 예방안하신지 year 정도 되심 구토 설사 심장사상충감염 식욕 떨어짐 변도 연변증상임 구토는 심하지는 않음 혈액검사상 저단백혈증 tp alb 저하 심장사상충,,"1,2", 심장사상충(Heartworm disease), 순환기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),206,1
Pomeranian(포메라이안),MN              ,디스크,E_24시아이, 일주일전에 미용함 어제부터 걸음걸이가 느려지고 구석가서 숨고 간식에 대한 반응 없음 어제 밤부터는 위와 같은 증상이 나타남 마리 키움 같은날 마리 미용함 다른강아지들 다 밥 잘먹고 잘놀음 식욕 활기 백신 사상충 rad 배변정체 pe 초고도 비만 고유지각반사 느림 뒷다리 고양이 등자세. 코골이 소리 심함 ivdd grade ce 체중감량 강조. 과체중으로 신경계압박등 동통호소 재발가능성 큼 ivdd grade 심해질수 있어요 month month 까지 입원하면서 경과보기로 퇴원시 내복약 별도 고지. . ,2133,28,,,기력저하,기력저하,284,3
Poodles(푸들),F,"2082,2244",C_잠실ON,cc vomiting 식욕은 있으나 구토 반복 배뇨 배변 조절 안됨 보호자님 안락사 요청하시어 상태 확인 및 최소한의 처치를 실시한 뒤 안락사 할 것을 추천함 pu pd 주말부터 활력 크게 감소 폭발적인 구토 변은 양호함. ,,1,,,구토(급성/만성),구토(급성/만성),125,0
Chihuahua(치와와),F,2082,A_라라,s month 전부터 기력 저하 몸을 떨고 움직일때 파행이나 이상은 없으나 이동거리가 적음 식이 변화는 없으며 먹는건 평소만큼 먹음 구토 없으며 배변 배뇨 양호 qar bt rr 복부 촉진시 긴장감 증가 cpl 양성 초음파 위 내 가스 소장 운동성 저하 장점막비대 췌장염 수액처치 경과 확인 퇴원 최 식욕 활력 양호하여 관찰퇴원 증상 발생시 다시 입원 필요 말씀드림 다음주 췌장수치 재검 예정 ,,28,,,기력저하,기력저하,220,3
